CODIGO_APLICACION,NOMBRE_APLICACION,NOMBRE_CLASE_APLICACION,TOTAL_PROGRAMAS_IMPACTADOS,PORCENTAJE_PROGRAMAS_IMPACTADOS,TOTAL_DEUDA_TECNICA,TOTAL_OBJETOS_APLICACION,PORCENTAJE_IMPACTO_SOBRE_LA_APLICACION
BKS  ,Bankvision                                                  ,Core Banking                                                ,940,37.00,2514,34597,2.00
BVC  ,Clientes                                                    ,Core Banking                                                ,727,26.00,2759,8337,8.00
TDC  ,Tarjeta de crédito - TDC                                    ,Apoyo Core Banking                                          ,412,33.00,1218,5167,7.00
SCI  ,Sistema de Control de Información SCI                       ,Servicios Transaccionales                                   ,261,44.00,585,5078,5.00
WWW  ,Back end Sucursal Virtual Personas WWW                      ,Servicios Transaccionales                                   ,306,46.00,660,4689,6.00
CIB  ,Comex                                                       ,Core Banking                                                ,543,67.00,804,4404,12.00
PAB  ,Pagos automáticos Bancolombia - PAB                         ,Core Banking                                                ,643,59.00,1082,4304,14.00
PCC  ,PCC - Programas Comunes Canales                             ,Apoyo Servicios Transaccionales                             ,458,53.00,854,2439,18.00
RDI  ,Recuaudo Impuestos                                          ,Apoyo Core Banking                                          ,175,42.00,414,2252,7.00
BVD  ,Depositos                                                   ,Core Banking                                                ,374,40.00,927,2207,16.00
COM  ,Comunicaciones COM                                          ,Servicios Transaccionales                                   ,159,42.00,375,1990,7.00
BVL  ,Cartera                                                     ,Core Banking                                                ,203,41.00,494,1634,12.00
CAB  ,Cajeros Automáticos CAB                                     ,Servicios Transaccionales                                   ,192,47.00,403,1461,13.00
REC  ,Recaudos                                                    ,Apoyo Core Banking                                          ,270,56.00,479,1451,18.00
MAT  ,Modulo de Administración de Tarjetas MAT                    ,Apoyo Core Banking                                          ,506,63.00,796,1259,40.00
STI  ,STI - Sistema Transaccional de Integración                  ,Servicios Transaversales a Otras Aplicaciones               ,155,54.00,284,1249,12.00
PGC  ,Plan de Gestion Comercial - PGC                             ,Apoyo Core Banking                                          ,2,40.00,5,954,0.00
EAB  ,Establecimientos                                            ,Apoyo Core Banking                                          ,11,36.00,30,922,1.00
DOP  ,Canjes                                                      ,Core Banking                                                ,70,44.00,157,851,8.00
CDC  ,Cartas de Créditop                                          ,Apoyo Core Banking                                          ,70,41.00,167,833,8.00
BSG  ,Bancaseguros                                                ,Apoyo Core Banking                                          ,35,59.00,59,764,4.00
BVG  ,Contabilidad                                                ,Core Banking                                                ,2,2.00,84,681,0.00
CLE  ,Consulta Integrada de Clientes                              ,Aplicaciones Corporativas                                   ,37,44.00,83,630,5.00
DCB  ,Computo Kyndryl                                             ,Otras Aplicaciones                                          ,7,14.00,47,588,1.00
SAI  ,Sistema de Adquisición de Información SAI                   ,Servicios Transaccionales                                   ,8,22.00,35,532,1.00
CPS  ,Audioprestamo - Cupos                                       ,Apoyo Core Banking                                          ,190,56.00,334,435,43.00
ADM  ,Administracion de Hacienda ADM                              ,Aplicaciones Corporativas                                   ,4,3.00,103,390,1.00
PCP  ,Programación y Control de la producción                     ,Apoyo a la Administración y Operacion                       ,18,14.00,121,384,4.00
STA  ,Rutinas Estándar de Sistema STA                             ,Servicios Transaversales a Otras Aplicaciones               ,24,20.00,116,369,6.00
GCO  ,Sistema Generico                                            ,Apoyo Core Banking                                          ,3,2.00,118,363,0.00
SEG  ,Seguridad de Información                                    ,Servicios Transaversales a Otras Aplicaciones               ,36,22.00,160,350,10.00
BIS  ,Bonos de Paz y Seguridad y Tidis                            ,Apoyo Core Banking                                          ,3,27.00,11,342,0.00
BVR  ,Remesas Personalizacion                                     ,Core Banking                                                ,34,44.00,76,298,11.00
CTR  ,Componentes Transversales iSeries                           ,Servicios Transaversales a Otras Aplicaciones               ,85,45.00,187,295,28.00
ITC  ,Información Transaccional de Clientes                       ,Servicios Transaccionales                                   ,33,24.00,134,280,11.00
BLZ  ,Balanza Cambiaria                                           ,Core Banking                                                ,40,54.00,73,248,16.00
EDM  ,Informes Ondemand                                           ,Servicios Transaversales a Otras Aplicaciones               ,14,16.00,87,240,5.00
PRI  ,Protección de Información                                   ,Apoyo a la Administración y Operacion                       ,108,65.00,164,229,47.00
CRP  ,Criptografia                                                ,Servicios Transaversales a Otras Aplicaciones               ,14,38.00,36,227,6.00
STF  ,Sistema de Transferencias Financieras STF                   ,Apoyo Core Banking                                          ,53,36.00,145,220,24.00
BVN  ,Endeudamiento                                               ,Apoyo Core Banking                                          ,1,0.00,187,203,0.00
TDE  ,Efectivo Seguro (TDE)                                       ,Apoyo Core Banking                                          ,72,67.00,106,187,38.00
TCB  ,Tarjetas de crédito Bancolombia - TCB                       ,Apoyo Core Banking                                          ,48,65.00,73,164,29.00
OPR  ,Programación y control de la producción                     ,Apoyo a la Administración y Operacion                       ,6,26.00,23,127,4.00
REX  ,Remsas                                                      ,Apoyo Core Banking                                          ,8,47.00,17,121,6.00
DEP  ,Transaccionales Depositos                                   ,Core Banking                                                ,42,67.00,62,116,36.00
TPV  ,TPV - Terminales en Punto de Venta POS                      ,Apoyo Core Banking                                          ,1,11.00,9,90,1.00
WSE  ,Módulo Seguridad Aplicaciones WEB                           ,Servicios Transaversales a Otras Aplicaciones               ,15,16.00,89,89,16.00
CHI  ,Credito Hipotecario                                         ,Apoyo Core Banking                                          ,6,50.00,12,85,7.00
NDC  ,Notas Debito y Credito                                      ,Apoyo Core Banking                                          ,6,60.00,10,85,7.00
NTC  ,Novedades Tarjeta Master Debit NTC                          ,Apoyo Core Banking                                          ,2,20.00,10,62,3.00
EDB  ,Interfaces sucursal virtual                                 ,Apoyo Servicios Transaccionales                             ,3,27.00,11,61,4.00
GTB  ,Estadisticas de consumo de procesadores                     ,Servicios Transaversales a Otras Aplicaciones               ,2,15.00,13,42,4.00
WEB  ,Transmisión de Archivos Corporativos TAC - Iseries          ,Servicios Transaversales a Otras Aplicaciones               ,14,48.00,29,34,41.00
RDB  ,Procesos de conciliación y Cuadre con Redeban               ,Apoyo Core Banking                                          ,1,100.00,1,23,4.00
CGP  ,Servidor Transaccional Consulta General Productos           ,Apoyo Servicios Transaccionales                             ,2,100.00,2,17,11.00
PDA  ,Servidor Transaccional Productos-Cuentas Depositos          ,Core Banking                                                ,1,100.00,1,12,8.00
CDE  ,Canal Directo Empresarial                                   ,Servicios Transaccionales                                   ,125,79.00,157,263,47.00
SUA  ,Componentes Transversales Seguridades                       ,Servicios Transaversales a Otras Aplicaciones               ,4,23.00,17,69,5.00
CBA  ,Corresponsales Bancarios-Transacciones con Tarjetas         ,Core Banking                                                ,141,87.00,161,604,23.00
DTF  ,Servidor Datos Financieros de Cliente                       ,Core Banking                                                ,1,100.00,1,2,50.00
TVP  ,Tarjetas Vision Plus                                        ,Apoyo Core Banking                                          ,8,34.00,23,516,1.00
